responseID,surveyName,language_clean,question_group,question_family,final_text,sentiment,label
142316144,Defects Survey,chinese (simplified),structured_sentiment,satisfaction,[LANG] chinese (simplified) [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142316144,Defects Survey,chinese (simplified),rating_intent,nps,[LANG] chinese (simplified) [QGROUP] rating_intent [QUESTION] How likely would you recommend Mah Sings product to a friend or colleague? [ANSWER] 8,Neutral,1
142316144,Defects Survey,chinese (simplified),structured_sentiment,ease,[LANG] chinese (simplified) [QGROUP] structured_sentiment [QUESTION] How easy is it to use the Novade application? [ANSWER] Easy,Positive,2
142317923,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative made me feel cared for [ANSWER] Agree,Positive,2
142317923,Defects Survey,english,other,agreement,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was polite and friendly [ANSWER] Agree,Positive,2
142317923,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative understood my defect rectification submission [ANSWER] Agree,Positive,2
142317923,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The Customer Service Representative was consistently prompt in his/her response [ANSWER] Agree,Positive,2
142317923,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] The appointment date/time given to you [ANSWER] Satisfied,Positive,2
142317923,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Completion of defects rectification within committed timeframe [ANSWER] Satisfied,Positive,2
142317923,Defects Survey,english,rating_intent,other,[LANG] english [QGROUP] rating_intent [QUESTION] How likely are you to purchase again from Mah Sing in the future if it’s within your affordability? [ANSWER] Likely,Positive,2
142317923,Defects Survey,english,structured_sentiment,satisfaction,[LANG] english [QGROUP] structured_sentiment [QUESTION] How satisfied are you with the customer support provided for the Novade application? [ANSWER] Satisfied,Positive,2
142317923,Defects Survey,english,other,other,[LANG] english [QGROUP] other [QUESTION] Ease of scheduling a joint inspection appointment [ANSWER] Satisfied,Positive,2
